business_id,num_reviews,num_relationship_words,aunt,bff,boo,boss,boyfriend,brother,child,classmate,client,cousin,coworker,date,daughter,father,fiancee,friend,girlfriend,grandchild,grandfather,grandmother,grandparents,housemate,husband,mother,neighbor,nephew,niece,parent,partner,professor,relationship,siblings,sister,son,spouse,teacher,uncle,wife,family,romantic,friendship,professional,name,categories,stars,review_count,address,city,state,longitude,latitude,metroarea,is_active,is_arts,is_auto,is_beautysvc,is_bicycles,is_education,is_eventservices,is_financialservices,is_food,is_health,is_homeservices,is_hotelstravel,is_localflavor,is_localservices,is_massmedia,is_nightlife,is_pets,is_professional,is_publicservicesgovt,is_religiousorgs,is_restaurants,is_shopping
0AzLzHfOJgL7ROwhdww2ew,283,141.3427561837456,0.0,3.5335689045936394,0.0,0.0,10.60070671378092,0.0,31.802120141342755,0.0,0.0,0.0,0.0,0.0,10.60070671378092,3.5335689045936394,0.0,14.134275618374557,0.0,0.0,0.0,0.0,0.0,0.0,17.6678445229682,3.5335689045936394,3.5335689045936394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5335689045936394,7.067137809187279,0.0,0.0,0.0,31.802120141342755,109.54063604240282,10.60070671378092,21.20141342756184,0.0,Renaissance Orlando at SeaWorld,"Hotels, Hotels & Travel, Restaurants, Event Planning & Services, Venues & Event Spaces",4,290,6677 Sea Harbor Dr,Orlando,FL,-81.46847248,28.4117334,Orlando,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
DbXHNl890xSXNiyRczLWAg,147,272.108843537415,0.0,0.0,0.0,0.0,27.210884353741495,0.0,0.0,0.0,0.0,0.0,6.802721088435374,0.0,6.802721088435374,0.0,0.0,47.61904761904761,6.802721088435374,0.0,0.0,0.0,0.0,0.0,74.82993197278911,0.0,0.0,0.0,0.0,0.0,6.802721088435374,0.0,0.0,0.0,13.605442176870747,20.408163265306122,0.0,0.0,0.0,61.224489795918366,176.87074829931973,40.816326530612244,47.61904761904761,6.802721088435374,Orlando Meats,"Butcher, Brazilian, Argentine, Restaurants, Sandwiches, American (New), Specialty Food, Food, Breakfast & Brunch, Meat Shops",4,187,"1035 Orlando Ave, Ste 105",Winter Park,FL,-81.3655917,28.6068444,Orlando,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
mw_qxZJraNu7Q6u0GkcMew,152,289.4736842105263,6.578947368421052,0.0,0.0,0.0,32.89473684210526,6.578947368421052,0.0,0.0,0.0,0.0,0.0,13.157894736842104,0.0,0.0,0.0,39.473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,105.26315789473684,6.578947368421052,6.578947368421052,6.578947368421052,0.0,0.0,13.157894736842104,0.0,0.0,0.0,6.578947368421052,6.578947368421052,0.0,0.0,0.0,39.473684210526315,184.21052631578945,59.21052631578947,46.05263157894736,0.0,Chatham's Place,"American (New), Bars, Restaurants, Wine Bars, Nightlife",4,157,7575 Dr Phillips Blvd,Orlando,FL,-81.48738289,28.45188215,Orlando,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
_gOz7-aHMyGUHOtjDrEv2w,290,379.31034482758616,0.0,0.0,0.0,0.0,20.689655172413794,0.0,117.24137931034483,0.0,0.0,0.0,0.0,0.0,41.37931034482759,0.0,3.4482758620689653,10.344827586206897,3.4482758620689653,3.4482758620689653,0.0,0.0,0.0,0.0,34.48275862068965,3.4482758620689653,0.0,3.4482758620689653,6.896551724137931,6.896551724137931,0.0,0.0,0.0,0.0,10.344827586206897,75.86206896551724,0.0,0.0,0.0,37.93103448275862,341.3793103448276,27.586206896551722,10.344827586206897,0.0,CoCo Key Hotel and Water Resort,"Resorts, Hotels, Active Life, Event Planning & Services, Hotels & Travel, Amusement Parks",2,310,7400 International Dr,Orlando,FL,-81.471547,28.453997,Orlando,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Qydynzc1ApxsSkVNEgPs9A,516,166.66666666666666,0.0,0.0,0.0,0.0,15.503875968992247,0.0,9.689922480620154,0.0,0.0,1.937984496124031,3.875968992248062,1.937984496124031,9.689922480620154,1.937984496124031,0.0,52.32558139534884,7.751937984496124,0.0,0.0,0.0,0.0,0.0,27.131782945736433,3.875968992248062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.937984496124031,9.689922480620154,0.0,0.0,0.0,19.37984496124031,85.27131782945736,25.1937984496124,52.32558139534884,3.875968992248062,Miller's Ale House - Orlando,"Burgers, Sports Bars, Restaurants, Nightlife, Bars, Seafood, American (Traditional), American (New)",4,535,8963 International Dr,Orlando,FL,-81.47163296,28.43487992,Orlando,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Ld88I1LFRlxnFlQVIoHAJw,243,160.49382716049382,0.0,0.0,0.0,0.0,8.23045267489712,12.345679012345679,4.11522633744856,0.0,0.0,0.0,0.0,0.0,24.691358024691358,8.23045267489712,0.0,8.23045267489712,12.345679012345679,0.0,0.0,4.11522633744856,0.0,0.0,28.80658436213992,4.11522633744856,0.0,4.11522633744856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23045267489712,0.0,0.0,0.0,32.92181069958848,131.6872427983539,20.5761316872428,8.23045267489712,0.0,AutoNation Toyota Winter Park,"Automotive, Auto Parts & Supplies, Car Dealers, Auto Repair",4,246,225 N Semoran Blvd,Winter Park,FL,-81.30548449,28.59825294,Orlando,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
jdAHMkNHejuvOk9vE6wGWA,560,105.35714285714286,0.0,0.0,0.0,0.0,1.7857142857142856,1.7857142857142856,7.142857142857142,0.0,0.0,0.0,1.7857142857142856,0.0,7.142857142857142,1.7857142857142856,1.7857142857142856,28.57142857142857,1.7857142857142856,0.0,0.0,1.7857142857142856,0.0,0.0,21.428571428571427,0.0,0.0,1.7857142857142856,0.0,1.7857142857142856,0.0,0.0,0.0,0.0,5.357142857142857,8.928571428571429,0.0,0.0,1.7857142857142856,8.928571428571429,69.64285714285714,5.357142857142857,28.57142857142857,1.7857142857142856,Mears Transportation Group,"Transportation, Hotels & Travel, Taxis, Airport Shuttles, Limos",2,562,,Orlando,FL,-81.2849169,28.4055091,Orlando,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ZX6v0viDJtr_fP7Mt3Gczg,69,159.42028985507244,0.0,0.0,0.0,0.0,0.0,0.0,14.492753623188406,0.0,0.0,14.492753623188406,14.492753623188406,0.0,14.492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.985507246376812,0.0,0.0,0.0,43.47826086956522,144.92753623188406,0.0,0.0,14.492753623188406,National Car Rental,"Car Rental, Hotels & Travel, Truck Rental, Automotive",3,76,1 Jeff Fuqua Blvd,Orlando,FL,-81.308038,28.431262,Orlando,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
avhO2gx4ensf6Su6ld9d5g,110,318.1818181818182,0.0,0.0,0.0,0.0,27.27272727272727,0.0,36.36363636363636,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,9.09090909090909,54.54545454545454,9.09090909090909,0.0,0.0,0.0,0.0,9.09090909090909,36.36363636363636,9.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,9.09090909090909,0.0,0.0,45.45454545454545,209.09090909090907,45.45454545454545,63.63636363636363,0.0,Olive Garden Italian Restaurant,"Restaurants, Wine Bars, Salad, Bars, Nightlife, Italian, Soup",3,123,11882 E Colonial Dr,Orlando,FL,-81.2052767,28.5658551,Orlando,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
0BGoel6on7yGvojzOqOEAQ,378,317.46031746031747,0.0,0.0,0.0,0.0,18.51851851851852,5.291005291005291,21.164021164021165,0.0,0.0,2.6455026455026456,2.6455026455026456,0.0,29.100529100529098,5.291005291005291,2.6455026455026456,39.682539682539684,5.291005291005291,0.0,0.0,2.6455026455026456,0.0,0.0,76.71957671957672,13.227513227513226,0.0,0.0,2.6455026455026456,0.0,7.936507936507936,0.0,0.0,0.0,5.291005291005291,21.164021164021165,0.0,0.0,0.0,55.55555555555555,240.74074074074073,34.39153439153439,39.682539682539684,2.6455026455026456,Tiffins Restaurant,"Desserts, Restaurants, Food, African, Salad, American (New)",4,436,2901 Osceola Pkwy,Orlando,FL,-81.59147105,28.35698692,Orlando,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
